state,year,quarter,total_transactions,amount_millions
bihar,2021,2,155603622,374580.26
bihar,2021,3,187671113,397062.76
bihar,2021,4,245126945,519371.61
bihar,2022,1,284390434,611411.7
bihar,2022,2,360145029,754461.45
bihar,2022,3,437367385,791446.49
bihar,2022,4,517084649,936012.15
bihar,2023,1,547831195,1039276.96
bihar,2023,2,683933094,1226046.75
bihar,2023,3,734238751,1148153.36
bihar,2023,4,924427274,1434735.81
bihar,2024,1,1078734783,1637736.86
bihar,2024,2,1313888385,1886846.56
bihar,2024,3,1352876223,1780280.47
bihar,2024,4,1559667675,2098927.48
chandigarh,2018,1,381895,613.44
chandigarh,2018,2,479084,961.22
chandigarh,2018,3,616936,1369.35
chandigarh,2018,4,905116,2032.59
chandigarh,2019,1,1274476,2396.03
chandigarh,2019,2,1252470,2693.12
chandigarh,2019,3,1506543,3269.68
chandigarh,2019,4,1850915,4152.51
chandigarh,2020,1,2262511,5126.45
chandigarh,2020,2,1528010,3847.02
chandigarh,2020,3,2158086,5089.81
chandigarh,2020,4,2912716,6146.76
chandigarh,2021,1,3970237,7596.42
chandigarh,2021,2,4417547,8417.67
chandigarh,2021,3,6649378,11815.88
chandigarh,2021,4,7898903,14373.58
chandigarh,2022,1,8600491,15174.99
chandigarh,2022,2,10772489,17283.5
chandigarh,2022,3,13478173,20559.76
chandigarh,2022,4,17904840,27879.75
chandigarh,2023,1,9815605,12824.89
chandigarh,2023,2,11553687,14414.41
chandigarh,2023,3,13052165,15426.78
chandigarh,2023,4,13280078,16281.22
chandigarh,2024,1,13155173,15842.18
chandigarh,2024,2,15940973,17556.9
chandigarh,2024,3,17708385,19259.26
chandigarh,2024,4,18528444,20501.39
chhattisgarh,2018,1,1891514,2149.16
chhattisgarh,2018,2,2816156,4264.17
chhattisgarh,2018,3,3859604,6302.31
chhattisgarh,2018,4,5365844,9416.41
chhattisgarh,2019,1,7887669,12544.56
chhattisgarh,2019,2,9389945,17002.36
chhattisgarh,2019,3,12243111,19803.26
chhattisgarh,2019,4,16305758,27143.79
chhattisgarh,2020,1,19523991,32860.6
chhattisgarh,2020,2,18820925,32268.38
chhattisgarh,2020,3,24148539,41526.74
chhattisgarh,2020,4,35529636,62214.97
chhattisgarh,2021,1,39436437,69409.84
chhattisgarh,2021,2,44689420,78728.77
chhattisgarh,2021,3,64237938,104606.11
chhattisgarh,2021,4,84717494,136399.11
chhattisgarh,2022,1,97413292,157847.05
chhattisgarh,2022,2,116584048,181181.68
chhattisgarh,2022,3,158252587,220161.56
chhattisgarh,2022,4,177960446,252519.18
chhattisgarh,2023,1,214748957,301088.94
chhattisgarh,2023,2,249931636,333156.85
chhattisgarh,2023,3,283492657,350379.68
chhattisgarh,2023,4,321876332,403985.03
chhattisgarh,2024,1,366176684,463009.81
chhattisgarh,2024,2,412047705,496313.43
chhattisgarh,2024,3,443640102,497360.13
chhattisgarh,2024,4,500655404,576828.44
dadra-&-nagar-haveli-&-daman-&-diu,2018,1,148549,175.66
dadra-&-nagar-haveli-&-daman-&-diu,2018,2,202626,302.07
dadra-&-nagar-haveli-&-daman-&-diu,2018,3,289575,447.64
dadra-&-nagar-haveli-&-daman-&-diu,2018,4,404082,658.75
dadra-&-nagar-haveli-&-daman-&-diu,2019,1,661814,843.37
dadra-&-nagar-haveli-&-daman-&-diu,2019,2,489656,824.44
