state,year,quarter,transaction_type,transaction_count,transaction_amount
andaman-&-nicobar-islands,2024,4,"Peer-to-peer payments",1993301,6142805445
andaman-&-nicobar-islands,2024,4,"Recharge & bill payments",389318,214912264
andaman-&-nicobar-islands,2024,4,"Financial Services",12889,12789955
andaman-&-nicobar-islands,2024,4,Others,2332,3835931
andhra-pradesh,2018,1,"Recharge & bill payments",5027448,892293975.6698562
andhra-pradesh,2018,1,"Peer-to-peer payments",3049646,10524250283.178782
andhra-pradesh,2018,1,"Merchant payments",362672,247297640.24000686
andhra-pradesh,2018,1,"Financial Services",204305,44808449.7639544
andhra-pradesh,2018,1,Others,395514,287626042.970705
andhra-pradesh,2018,2,"Recharge & bill payments",6456387,1598591488.4880352
andhra-pradesh,2018,2,"Peer-to-peer payments",4745000,20451493098.8953
andhra-pradesh,2018,2,"Merchant payments",604847,436785223.86032957
andhra-pradesh,2018,2,"Financial Services",225621,68952114.81374599
andhra-pradesh,2018,2,Others,322063,328092346.575651
andhra-pradesh,2018,3,"Peer-to-peer payments",16129591,32738630444.668724
andhra-pradesh,2018,3,"Recharge & bill payments",7542005,1949098146.8941927
andhra-pradesh,2018,3,"Merchant payments",1225416,685277254.5076212
andhra-pradesh,2018,3,"Financial Services",380324,60790077.57437308
andhra-pradesh,2018,3,Others,348725,284248675.5700202
andhra-pradesh,2018,4,"Peer-to-peer payments",17580086,47011639726.13608
andhra-pradesh,2018,4,"Recharge & bill payments",9767083,2418164314.470957
andhra-pradesh,2018,4,"Merchant payments",2622131,1671585888.568256
andhra-pradesh,2018,4,"Financial Services",400837,57178116.40322068
andhra-pradesh,2018,4,Others,389411,315211361.26249415
andhra-pradesh,2019,1,"Peer-to-peer payments",37420988,77524329742.2595
andhra-pradesh,2019,1,"Recharge & bill payments",14022264,3480641602.3771377
andhra-pradesh,2019,1,"Merchant payments",5043682,2423536770.3706346
andhra-pradesh,2019,1,"Financial Services",416325,47150177.52982048
andhra-pradesh,2019,1,Others,361263,284937624.5393019
andhra-pradesh,2019,2,"Peer-to-peer payments",32494402,103924649232.47021
andhra-pradesh,2019,2,"Recharge & bill payments",14093964,4708345387.9101095
andhra-pradesh,2019,2,"Merchant payments",9226537,4613405202.681959
andhra-pradesh,2019,2,"Financial Services",145310,26626696.771042537
andhra-pradesh,2019,2,Others,448802,361492238.3966455
andhra-pradesh,2019,3,"Peer-to-peer payments",39023491,124338645329.51532
andhra-pradesh,2019,3,"Recharge & bill payments",20147629,6893984676.598906
andhra-pradesh,2019,3,"Merchant payments",16581787,7887394038.066369
andhra-pradesh,2019,3,"Financial Services",122270,29778183.027080443
andhra-pradesh,2019,3,Others,413437,298142027.58625776
andhra-pradesh,2019,4,"Peer-to-peer payments",57181511,178893550050.68753
andhra-pradesh,2019,4,"Merchant payments",25122370,13476303367.50486
andhra-pradesh,2019,4,"Recharge & bill payments",24469888,8335168605.691999
andhra-pradesh,2019,4,"Financial Services",105662,26796571.745749153
andhra-pradesh,2019,4,Others,338672,216496893.16102877
andhra-pradesh,2020,1,"Peer-to-peer payments",65452143,223088554055.04755
andhra-pradesh,2020,1,"Merchant payments",31408022,18603161784.496994
andhra-pradesh,2020,1,"Recharge & bill payments",30449644,10813530777.973532
andhra-pradesh,2020,1,"Financial Services",75238,43739133.169823855
andhra-pradesh,2020,1,Others,292310,188228538.37489766
