state,year,quarter,district,insurance_count,insurance_amount
andhra-pradesh,2023,1,"vizianagaram district",1104,1619607
andhra-pradesh,2023,1,"visakhapatnam district",6752,9502319
andhra-pradesh,2023,1,"prakasam district",1437,2188369
andhra-pradesh,2023,1,"anantapur district",1565,2882540
andhra-pradesh,2023,1,"ysr district",1509,2235497
andhra-pradesh,2023,1,"west godavari district",2196,3370241
andhra-pradesh,2023,1,"kurnool district",1208,2088411
andhra-pradesh,2023,1,"chittoor district",3284,5677174
andhra-pradesh,2023,1,"guntur district",3542,4957590
andhra-pradesh,2023,1,"krishna district",4693,6275818
andhra-pradesh,2023,2,"east godavari district",3690,5519480
andhra-pradesh,2023,2,"srikakulam district",1083,1556225
andhra-pradesh,2023,2,"spsr nellore district",2468,3679371
andhra-pradesh,2023,2,"vizianagaram district",1227,1530183
andhra-pradesh,2023,2,"visakhapatnam district",7000,8910217
andhra-pradesh,2023,2,"prakasam district",1311,1880405
andhra-pradesh,2023,2,"anantapur district",1688,3027497
andhra-pradesh,2023,2,"ysr district",1652,2426306
andhra-pradesh,2023,2,"west godavari district",2140,3383512
andhra-pradesh,2023,2,"kurnool district",1473,2483871
andhra-pradesh,2023,2,"chittoor district",3756,5988173
andhra-pradesh,2023,2,"guntur district",3725,5015442
andhra-pradesh,2023,2,"krishna district",5163,6666796
andhra-pradesh,2023,3,"east godavari district",4157,5720660
andhra-pradesh,2023,3,"srikakulam district",1308,1724487
andhra-pradesh,2023,3,"spsr nellore district",3082,3962298
andhra-pradesh,2023,3,"vizianagaram district",1274,1526422
andhra-pradesh,2023,3,"visakhapatnam district",8972,11107138
andhra-pradesh,2023,3,"prakasam district",1695,2170370
andhra-pradesh,2023,3,"anantapur district",1947,3392196
andhra-pradesh,2023,3,"ysr district",1900,2732465
andhra-pradesh,2023,3,"west godavari district",2308,3162591
andhra-pradesh,2023,3,"kurnool district",1723,2310997
andhra-pradesh,2023,3,"chittoor district",3993,6350318
andhra-pradesh,2023,3,"guntur district",4604,5810698
andhra-pradesh,2023,3,"krishna district",6187,7831756
andhra-pradesh,2023,4,"east godavari district",4294,6404501
andhra-pradesh,2023,4,"srikakulam district",1327,1851290
andhra-pradesh,2023,4,"spsr nellore district",2739,3968074
andhra-pradesh,2023,4,"vizianagaram district",1350,1745449
andhra-pradesh,2023,4,"visakhapatnam district",8787,12027284
andhra-pradesh,2023,4,"prakasam district",1561,2357325
andhra-pradesh,2023,4,"anantapur district",2143,3651525
andhra-pradesh,2023,4,"ysr district",1923,2738253
andhra-pradesh,2023,4,"west godavari district",2198,3630998
andhra-pradesh,2023,4,"kurnool district",1829,3161720
andhra-pradesh,2023,4,"chittoor district",4025,7322967
andhra-pradesh,2023,4,"guntur district",4354,6154821
andhra-pradesh,2023,4,"krishna district",5268,7328216
andhra-pradesh,2024,1,"east godavari district",5344,6899327
andhra-pradesh,2024,1,"srikakulam district",1651,1876987
andhra-pradesh,2024,1,"spsr nellore district",2931,3961012
andhra-pradesh,2024,1,"vizianagaram district",1683,2049836
andhra-pradesh,2024,1,"visakhapatnam district",9034,12016206
andhra-pradesh,2024,1,"prakasam district",1801,2513184
andhra-pradesh,2024,1,"anantapur district",2194,3722783
andhra-pradesh,2024,1,"ysr district",1935,2972264
andhra-pradesh,2024,1,"west godavari district",2808,4029842
andhra-pradesh,2024,1,"kurnool district",1916,2727094
andhra-pradesh,2024,1,"chittoor district",4784,6901394
andhra-pradesh,2024,1,"guntur district",4613,5985992
andhra-pradesh,2024,1,"krishna district",5888,7907881
andhra-pradesh,2024,2,"east godavari district",4730,6812370
andhra-pradesh,2024,2,"srikakulam district",1568,1961204
andhra-pradesh,2024,2,"spsr nellore district",2708,4456805
andhra-pradesh,2024,2,"vizianagaram district",1575,1986175
andhra-pradesh,2024,2,"visakhapatnam district",9077,12170419
andhra-pradesh,2024,2,"prakasam district",2008,2858214
andhra-pradesh,2024,2,"anantapur district",1868,3445825
andhra-pradesh,2024,2,"ysr district",1652,2692864
andhra-pradesh,2024,2,"west godavari district",2505,3448213
andhra-pradesh,2024,2,"kurnool district",1664,2836292
andhra-pradesh,2024,2,"chittoor district",3925,6646337
