state,year,quarter,district,insurance_count,insurance_amount
arunachal-pradesh,2021,1,"west kameng district",15,9871
arunachal-pradesh,2021,1,"east siang district",18,8695
arunachal-pradesh,2021,1,"upper subansiri district",7,4237
arunachal-pradesh,2021,1,"east kameng district",4,132
arunachal-pradesh,2021,1,"lohit district",11,2951
arunachal-pradesh,2021,1,"lepa rada district",2,1258
arunachal-pradesh,2021,1,"tawang district",11,10155
arunachal-pradesh,2021,1,"namsai district",8,1248
arunachal-pradesh,2021,2,"lower dibang valley district",14,8091
arunachal-pradesh,2021,2,"lower subansiri district",10,4236
arunachal-pradesh,2021,2,"west siang district",18,8990
arunachal-pradesh,2021,2,"upper siang district",1,210
arunachal-pradesh,2021,2,"tirap district",1,1405
arunachal-pradesh,2021,2,"papum pare district",69,89335
arunachal-pradesh,2021,2,"kurung kumey district",2,94
arunachal-pradesh,2021,2,"anjaw district",2,19882
arunachal-pradesh,2021,2,"siang district",1,5423
arunachal-pradesh,2021,2,"kra daadi district",1,210
arunachal-pradesh,2021,2,"changlang district",12,11258
arunachal-pradesh,2021,2,"west kameng district",20,17896
arunachal-pradesh,2021,2,"shi yomi district",1,933
arunachal-pradesh,2021,2,"east siang district",6,2979
arunachal-pradesh,2021,2,"upper subansiri district",2,467
arunachal-pradesh,2021,2,"east kameng district",4,327
arunachal-pradesh,2021,2,"lohit district",16,21096
arunachal-pradesh,2021,2,"tawang district",13,23216
arunachal-pradesh,2021,2,"namsai district",11,8880
arunachal-pradesh,2021,3,"lower dibang valley district",13,11845
arunachal-pradesh,2021,3,"lower subansiri district",6,11875
arunachal-pradesh,2021,3,"west siang district",21,57300
arunachal-pradesh,2021,3,"kamle district",2,1245
arunachal-pradesh,2021,3,"upper siang district",5,11455
arunachal-pradesh,2021,3,"tirap district",14,38082
arunachal-pradesh,2021,3,"papum pare district",50,95368
arunachal-pradesh,2021,3,"anjaw district",1,1531
arunachal-pradesh,2021,3,"lower siang district",3,1927
arunachal-pradesh,2021,3,"kra daadi district",1,946
arunachal-pradesh,2021,3,"changlang district",15,25894
arunachal-pradesh,2021,3,"west kameng district",22,21566
arunachal-pradesh,2021,3,"east siang district",23,32914
arunachal-pradesh,2021,3,"upper subansiri district",2,2417
arunachal-pradesh,2021,3,"lohit district",10,15097
arunachal-pradesh,2021,3,"lepa rada district",1,946
arunachal-pradesh,2021,3,"tawang district",8,5436
arunachal-pradesh,2021,3,"namsai district",15,35207
arunachal-pradesh,2021,4,"lower dibang valley district",11,12440
arunachal-pradesh,2021,4,"lower subansiri district",7,10820
arunachal-pradesh,2021,4,"longding district",2,4852
arunachal-pradesh,2021,4,"west siang district",14,25308
arunachal-pradesh,2021,4,"upper siang district",2,6420
arunachal-pradesh,2021,4,"tirap district",14,37402
arunachal-pradesh,2021,4,"papum pare district",128,232985
arunachal-pradesh,2021,4,"kurung kumey district",2,4597
arunachal-pradesh,2021,4,"anjaw district",2,1175
arunachal-pradesh,2021,4,"siang district",5,7876
arunachal-pradesh,2021,4,"lower siang district",2,3130
arunachal-pradesh,2021,4,"changlang district",26,59532
arunachal-pradesh,2021,4,"pakke kessang district",4,6980
arunachal-pradesh,2021,4,"west kameng district",37,61049
arunachal-pradesh,2021,4,"east siang district",7,22841
arunachal-pradesh,2021,4,"upper subansiri district",4,6632
arunachal-pradesh,2021,4,"east kameng district",4,4783
arunachal-pradesh,2021,4,"lohit district",17,19353
arunachal-pradesh,2021,4,"lepa rada district",4,22217
arunachal-pradesh,2021,4,"tawang district",14,28772
arunachal-pradesh,2021,4,"namsai district",14,19295
arunachal-pradesh,2022,1,"lower dibang valley district",10,17012
arunachal-pradesh,2022,1,"lower subansiri district",9,27520
arunachal-pradesh,2022,1,"longding district",6,18234
arunachal-pradesh,2022,1,"west siang district",7,16731
arunachal-pradesh,2022,1,"kamle district",2,3042
arunachal-pradesh,2022,1,"tirap district",22,98280
arunachal-pradesh,2022,1,"papum pare district",149,339981
arunachal-pradesh,2022,1,"kurung kumey district",2,2907
arunachal-pradesh,2022,1,"anjaw district",1,56
arunachal-pradesh,2022,1,"siang district",3,10551
arunachal-pradesh,2022,1,"lower siang district",6,16596
arunachal-pradesh,2022,1,"kra daadi district",1,56
arunachal-pradesh,2022,1,"changlang district",22,41022
arunachal-pradesh,2022,1,"pakke kessang district",2,4537
arunachal-pradesh,2022,1,"dibang valley district",2,4047
arunachal-pradesh,2022,1,"west kameng district",36,83342
arunachal-pradesh,2022,1,"shi yomi district",1,1335
arunachal-pradesh,2022,1,"east siang district",22,50073
arunachal-pradesh,2022,1,"upper subansiri district",5,7374
arunachal-pradesh,2022,1,"east kameng district",1,56
arunachal-pradesh,2022,1,"lohit district",17,33684
arunachal-pradesh,2022,1,"lepa rada district",5,32299
arunachal-pradesh,2022,1,"tawang district",11,59469
arunachal-pradesh,2022,1,"namsai district",13,25903
arunachal-pradesh,2022,2,"lower dibang valley district",13,25061
arunachal-pradesh,2022,2,"lower subansiri district",7,13328
arunachal-pradesh,2022,2,"longding district",3,6396
arunachal-pradesh,2022,2,"west siang district",24,54485
arunachal-pradesh,2022,2,"kamle district",2,1353
arunachal-pradesh,2022,2,"upper siang district",2,7050
