state,year,quarter,district,registered_users,app_opens
andaman-&-nicobar-islands,2018,1,"north and middle andaman district",632,0
andaman-&-nicobar-islands,2018,1,"south andaman district",5846,0
andaman-&-nicobar-islands,2018,1,"nicobars district",262,0
andaman-&-nicobar-islands,2018,2,"north and middle andaman district",911,0
andaman-&-nicobar-islands,2018,2,"south andaman district",8143,0
andaman-&-nicobar-islands,2018,2,"nicobars district",351,0
andaman-&-nicobar-islands,2018,3,"north and middle andaman district",1208,0
andaman-&-nicobar-islands,2018,3,"south andaman district",10474,0
andaman-&-nicobar-islands,2018,3,"nicobars district",467,0
andaman-&-nicobar-islands,2018,4,"north and middle andaman district",1553,0
andaman-&-nicobar-islands,2018,4,"south andaman district",13133,0
andaman-&-nicobar-islands,2018,4,"nicobars district",536,0
andaman-&-nicobar-islands,2019,1,"north and middle andaman district",2013,0
andaman-&-nicobar-islands,2019,1,"south andaman district",15961,0
andaman-&-nicobar-islands,2019,1,"nicobars district",622,0
andaman-&-nicobar-islands,2019,2,"north and middle andaman district",2417,6118
andaman-&-nicobar-islands,2019,2,"south andaman district",18621,43569
andaman-&-nicobar-islands,2019,2,"nicobars district",693,2953
andaman-&-nicobar-islands,2019,3,"north and middle andaman district",2662,22064
andaman-&-nicobar-islands,2019,3,"south andaman district",20518,138190
andaman-&-nicobar-islands,2019,3,"nicobars district",751,10853
andaman-&-nicobar-islands,2019,4,"north and middle andaman district",2955,26253
andaman-&-nicobar-islands,2019,4,"south andaman district",22202,139646
andaman-&-nicobar-islands,2019,4,"nicobars district",803,11113
andaman-&-nicobar-islands,2020,1,"north and middle andaman district",3315,30444
andaman-&-nicobar-islands,2020,1,"south andaman district",24174,151529
andaman-&-nicobar-islands,2020,1,"nicobars district",879,11613
andaman-&-nicobar-islands,2020,2,"north and middle andaman district",4100,56992
andaman-&-nicobar-islands,2020,2,"south andaman district",27626,231071
andaman-&-nicobar-islands,2020,2,"nicobars district",984,17009
andaman-&-nicobar-islands,2020,3,"north and middle andaman district",5355,76553
andaman-&-nicobar-islands,2020,3,"south andaman district",34833,417785
andaman-&-nicobar-islands,2020,3,"nicobars district",1147,21227
andaman-&-nicobar-islands,2020,4,"north and middle andaman district",7076,125915
andaman-&-nicobar-islands,2020,4,"south andaman district",43908,725321
andaman-&-nicobar-islands,2020,4,"nicobars district",1412,35972
andaman-&-nicobar-islands,2021,1,"north and middle andaman district",7833,121680
andaman-&-nicobar-islands,2021,1,"south andaman district",48352,837589
andaman-&-nicobar-islands,2021,1,"nicobars district",1573,45067
andaman-&-nicobar-islands,2021,2,"north and middle andaman district",8493,596182
andaman-&-nicobar-islands,2021,2,"south andaman district",51903,1270226
andaman-&-nicobar-islands,2021,2,"nicobars district",1699,381815
andaman-&-nicobar-islands,2021,3,"north and middle andaman district",9263,759314
andaman-&-nicobar-islands,2021,3,"south andaman district",55873,1771107
andaman-&-nicobar-islands,2021,3,"nicobars district",1846,591204
andaman-&-nicobar-islands,2021,4,"north and middle andaman district",10002,171921
andaman-&-nicobar-islands,2021,4,"south andaman district",59807,1863037
andaman-&-nicobar-islands,2021,4,"nicobars district",1971,77952
andaman-&-nicobar-islands,2022,1,"north and middle andaman district",10720,904869
andaman-&-nicobar-islands,2022,1,"south andaman district",63487,2368756
andaman-&-nicobar-islands,2022,1,"nicobars district",2081,573782
andaman-&-nicobar-islands,2022,2,"north and middle andaman district",11379,963824
andaman-&-nicobar-islands,2022,2,"south andaman district",66959,3404740
andaman-&-nicobar-islands,2022,2,"nicobars district",2192,811449
andaman-&-nicobar-islands,2022,3,"north and middle andaman district",11897,1176567
andaman-&-nicobar-islands,2022,3,"south andaman district",70445,3607286
andaman-&-nicobar-islands,2022,3,"nicobars district",2300,1284501
andaman-&-nicobar-islands,2022,4,"north and middle andaman district",12361,313502
andaman-&-nicobar-islands,2022,4,"south andaman district",73692,3881359
andaman-&-nicobar-islands,2022,4,"nicobars district",2389,159232
andaman-&-nicobar-islands,2023,1,"north and middle andaman district",12941,3103047
andaman-&-nicobar-islands,2023,1,"south andaman district",77052,5450795
andaman-&-nicobar-islands,2023,1,"nicobars district",2491,2458822
andaman-&-nicobar-islands,2023,2,"north and middle andaman district",13600,3174229
andaman-&-nicobar-islands,2023,2,"south andaman district",80112,6884657
andaman-&-nicobar-islands,2023,2,"nicobars district",2617,4679790
andaman-&-nicobar-islands,2023,3,"north and middle andaman district",14216,7130284
andaman-&-nicobar-islands,2023,3,"south andaman district",83305,5950899
andaman-&-nicobar-islands,2023,3,"nicobars district",2734,7463896
andaman-&-nicobar-islands,2023,4,"north and middle andaman district",14813,1869462
andaman-&-nicobar-islands,2023,4,"south andaman district",86348,7452861
andaman-&-nicobar-islands,2023,4,"nicobars district",2817,523637
andaman-&-nicobar-islands,2024,1,"north and middle andaman district",15539,9022450
andaman-&-nicobar-islands,2024,1,"south andaman district",89907,12147903
andaman-&-nicobar-islands,2024,1,"nicobars district",2965,7368398
andaman-&-nicobar-islands,2024,2,"north and middle andaman district",16183,6159746
andaman-&-nicobar-islands,2024,2,"south andaman district",93421,6749599
andaman-&-nicobar-islands,2024,2,"nicobars district",3083,3967538
andaman-&-nicobar-islands,2024,3,"north and middle andaman district",21728,9789799
andaman-&-nicobar-islands,2024,3,"south andaman district",143250,6545536
andaman-&-nicobar-islands,2024,3,"nicobar district",7495,3219511
andaman-&-nicobar-islands,2024,4,"north and middle andaman district",22547,2194985
andaman-&-nicobar-islands,2024,4,"south andaman district",148543,15101583
andaman-&-nicobar-islands,2024,4,"nicobar district",7698,1395115
andhra-pradesh,2018,1,"east godavari district",350356,0
andhra-pradesh,2018,1,"srikakulam district",143839,0
andhra-pradesh,2018,1,"visakhapatnam district",497187,0
andhra-pradesh,2018,1,"prakasam district",189949,0
andhra-pradesh,2018,1,"anantapur district",241192,0
andhra-pradesh,2018,1,"kurnool district",240133,0
andhra-pradesh,2018,1,"guntur district",317065,0
andhra-pradesh,2018,1,"krishna district",323673,0
andhra-pradesh,2018,1,"spsr nellore district",194475,0
andhra-pradesh,2018,1,"vizianagaram district",128905,0
andhra-pradesh,2018,1,"ysr district",186800,0
andhra-pradesh,2018,1,"west godavari district",213335,0
andhra-pradesh,2018,1,"chittoor district",309541,0
andhra-pradesh,2018,2,"east godavari district",454398,0
andhra-pradesh,2018,2,"srikakulam district",186913,0
andhra-pradesh,2018,2,"visakhapatnam district",636052,0
andhra-pradesh,2018,2,"prakasam district",253458,0
andhra-pradesh,2018,2,"anantapur district",326383,0
andhra-pradesh,2018,2,"kurnool district",319313,0
andhra-pradesh,2018,2,"guntur district",420326,0
andhra-pradesh,2018,2,"krishna district",431965,0
andhra-pradesh,2018,2,"spsr nellore district",261049,0
andhra-pradesh,2018,2,"vizianagaram district",167327,0
andhra-pradesh,2018,2,"ysr district",248657,0
andhra-pradesh,2018,2,"west godavari district",282393,0
andhra-pradesh,2018,2,"chittoor district",414306,0
andhra-pradesh,2018,3,"east godavari district",558982,0
andhra-pradesh,2018,3,"srikakulam district",228456,0
andhra-pradesh,2018,3,"visakhapatnam district",769096,0
andhra-pradesh,2018,3,"prakasam district",314899,0
andhra-pradesh,2018,3,"anantapur district",405855,0
andhra-pradesh,2018,3,"kurnool district",394311,0
andhra-pradesh,2018,3,"guntur district",518931,0
andhra-pradesh,2018,3,"krishna district",537086,0
andhra-pradesh,2018,3,"spsr nellore district",322446,0
andhra-pradesh,2018,3,"vizianagaram district",203655,0
andhra-pradesh,2018,3,"ysr district",308391,0
andhra-pradesh,2018,3,"west godavari district",349782,0
andhra-pradesh,2018,3,"chittoor district",515727,0
andhra-pradesh,2018,4,"east godavari district",694455,0
andhra-pradesh,2018,4,"srikakulam district",284874,0
andhra-pradesh,2018,4,"visakhapatnam district",978288,0
