state,year,quarter,entity_name,entity_type,registered_users
andaman-&-nicobar-islands,2019,4,"north and middle andaman",districts,2955
andaman-&-nicobar-islands,2019,4,nicobars,districts,803
andaman-&-nicobar-islands,2019,4,744103,pincodes,5637
andaman-&-nicobar-islands,2019,4,744101,pincodes,4321
andaman-&-nicobar-islands,2019,4,744105,pincodes,4277
andaman-&-nicobar-islands,2019,4,744102,pincodes,3485
andaman-&-nicobar-islands,2019,4,744202,pincodes,1087
andaman-&-nicobar-islands,2019,4,744104,pincodes,1062
andaman-&-nicobar-islands,2019,4,744107,pincodes,953
andaman-&-nicobar-islands,2019,4,744112,pincodes,812
andaman-&-nicobar-islands,2019,4,744211,pincodes,783
andaman-&-nicobar-islands,2019,4,744301,pincodes,611
andaman-&-nicobar-islands,2020,1,"south andaman",districts,24174
andaman-&-nicobar-islands,2020,1,"north and middle andaman",districts,3315
andaman-&-nicobar-islands,2020,1,nicobars,districts,879
andaman-&-nicobar-islands,2020,1,744103,pincodes,6108
andaman-&-nicobar-islands,2020,1,744101,pincodes,4689
andaman-&-nicobar-islands,2020,1,744105,pincodes,4684
andaman-&-nicobar-islands,2020,1,744102,pincodes,3727
andaman-&-nicobar-islands,2020,1,744202,pincodes,1216
andaman-&-nicobar-islands,2020,1,744104,pincodes,1154
andaman-&-nicobar-islands,2020,1,744107,pincodes,1062
andaman-&-nicobar-islands,2020,1,744112,pincodes,889
andaman-&-nicobar-islands,2020,1,744211,pincodes,886
andaman-&-nicobar-islands,2020,1,744301,pincodes,669
andaman-&-nicobar-islands,2020,2,"south andaman",districts,27626
andaman-&-nicobar-islands,2020,2,"north and middle andaman",districts,4100
andaman-&-nicobar-islands,2020,2,nicobars,districts,984
andaman-&-nicobar-islands,2020,2,744103,pincodes,6804
andaman-&-nicobar-islands,2020,2,744105,pincodes,5479
andaman-&-nicobar-islands,2020,2,744101,pincodes,5365
andaman-&-nicobar-islands,2020,2,744102,pincodes,4066
andaman-&-nicobar-islands,2020,2,744202,pincodes,1475
andaman-&-nicobar-islands,2020,2,744104,pincodes,1333
andaman-&-nicobar-islands,2020,2,744107,pincodes,1252
andaman-&-nicobar-islands,2020,2,744112,pincodes,1039
andaman-&-nicobar-islands,2020,2,744211,pincodes,1036
andaman-&-nicobar-islands,2020,2,744205,pincodes,806
andaman-&-nicobar-islands,2020,3,"south andaman",districts,34833
andaman-&-nicobar-islands,2020,3,"north and middle andaman",districts,5355
andaman-&-nicobar-islands,2020,3,nicobars,districts,1147
andaman-&-nicobar-islands,2020,3,744103,pincodes,8318
andaman-&-nicobar-islands,2020,3,744105,pincodes,7007
andaman-&-nicobar-islands,2020,3,744101,pincodes,6881
andaman-&-nicobar-islands,2020,3,744102,pincodes,4919
andaman-&-nicobar-islands,2020,3,744202,pincodes,1965
andaman-&-nicobar-islands,2020,3,744104,pincodes,1718
andaman-&-nicobar-islands,2020,3,744107,pincodes,1710
andaman-&-nicobar-islands,2020,3,744112,pincodes,1372
andaman-&-nicobar-islands,2020,3,744211,pincodes,1279
andaman-&-nicobar-islands,2020,3,744205,pincodes,1008
andaman-&-nicobar-islands,2020,4,"south andaman",districts,43908
andaman-&-nicobar-islands,2020,4,"north and middle andaman",districts,7076
andaman-&-nicobar-islands,2020,4,nicobars,districts,1412
andaman-&-nicobar-islands,2020,4,744103,pincodes,10408
andaman-&-nicobar-islands,2020,4,744105,pincodes,8962
andaman-&-nicobar-islands,2020,4,744101,pincodes,8593
andaman-&-nicobar-islands,2020,4,744102,pincodes,5882
andaman-&-nicobar-islands,2020,4,744202,pincodes,2711
andaman-&-nicobar-islands,2020,4,744107,pincodes,2346
andaman-&-nicobar-islands,2020,4,744104,pincodes,2167
andaman-&-nicobar-islands,2020,4,744112,pincodes,1761
andaman-&-nicobar-islands,2020,4,744211,pincodes,1579
andaman-&-nicobar-islands,2020,4,744205,pincodes,1346
andaman-&-nicobar-islands,2021,1,"south andaman",districts,48352
andaman-&-nicobar-islands,2021,1,"north and middle andaman",districts,7833
andaman-&-nicobar-islands,2021,1,nicobars,districts,1573
andaman-&-nicobar-islands,2021,1,744103,pincodes,11416
andaman-&-nicobar-islands,2021,1,744105,pincodes,9934
andaman-&-nicobar-islands,2021,1,744101,pincodes,9457
andaman-&-nicobar-islands,2021,1,744102,pincodes,6395
andaman-&-nicobar-islands,2021,1,744202,pincodes,3005
andaman-&-nicobar-islands,2021,1,744107,pincodes,2586
andaman-&-nicobar-islands,2021,1,744104,pincodes,2383
andaman-&-nicobar-islands,2021,1,744112,pincodes,1940
andaman-&-nicobar-islands,2021,1,744211,pincodes,1774
andaman-&-nicobar-islands,2021,1,744205,pincodes,1505
andaman-&-nicobar-islands,2021,2,"south andaman",districts,51903
andaman-&-nicobar-islands,2021,2,"north and middle andaman",districts,8493
andaman-&-nicobar-islands,2021,2,nicobars,districts,1699
andaman-&-nicobar-islands,2021,2,744103,pincodes,12268
andaman-&-nicobar-islands,2021,2,744105,pincodes,10668
andaman-&-nicobar-islands,2021,2,744101,pincodes,10120
andaman-&-nicobar-islands,2021,2,744102,pincodes,6837
andaman-&-nicobar-islands,2021,2,744202,pincodes,3261
andaman-&-nicobar-islands,2021,2,744107,pincodes,2783
andaman-&-nicobar-islands,2021,2,744104,pincodes,2573
andaman-&-nicobar-islands,2021,2,744112,pincodes,2083
andaman-&-nicobar-islands,2021,2,744211,pincodes,1904
andaman-&-nicobar-islands,2021,2,744205,pincodes,1626
andaman-&-nicobar-islands,2021,3,"south andaman",districts,55873
andaman-&-nicobar-islands,2021,3,"north and middle andaman",districts,9263
andaman-&-nicobar-islands,2021,3,nicobars,districts,1846
andaman-&-nicobar-islands,2021,3,744103,pincodes,13198
andaman-&-nicobar-islands,2021,3,744105,pincodes,11480
andaman-&-nicobar-islands,2021,3,744101,pincodes,10866
andaman-&-nicobar-islands,2021,3,744102,pincodes,7313
andaman-&-nicobar-islands,2021,3,744202,pincodes,3543
andaman-&-nicobar-islands,2021,3,744107,pincodes,3027
andaman-&-nicobar-islands,2021,3,744104,pincodes,2777
andaman-&-nicobar-islands,2021,3,744112,pincodes,2250
andaman-&-nicobar-islands,2021,3,744211,pincodes,2055
andaman-&-nicobar-islands,2021,3,744205,pincodes,1771
andaman-&-nicobar-islands,2021,4,"south andaman",districts,59807
andaman-&-nicobar-islands,2021,4,"north and middle andaman",districts,10002
andaman-&-nicobar-islands,2021,4,nicobars,districts,1971
andaman-&-nicobar-islands,2021,4,744103,pincodes,14127
andaman-&-nicobar-islands,2021,4,744105,pincodes,12300
andaman-&-nicobar-islands,2021,4,744101,pincodes,11623
andaman-&-nicobar-islands,2021,4,744102,pincodes,7813
andaman-&-nicobar-islands,2021,4,744202,pincodes,3815
andaman-&-nicobar-islands,2021,4,744107,pincodes,3247
andaman-&-nicobar-islands,2021,4,744104,pincodes,2962
andaman-&-nicobar-islands,2021,4,744112,pincodes,2411
andaman-&-nicobar-islands,2021,4,744211,pincodes,2200
andaman-&-nicobar-islands,2021,4,744205,pincodes,1902
andaman-&-nicobar-islands,2022,1,"south andaman",districts,63487
andaman-&-nicobar-islands,2022,1,"north and middle andaman",districts,10720
andaman-&-nicobar-islands,2022,1,nicobars,districts,2081
andaman-&-nicobar-islands,2022,1,744103,pincodes,15011
andaman-&-nicobar-islands,2022,1,744105,pincodes,13070
andaman-&-nicobar-islands,2022,1,744101,pincodes,12300
andaman-&-nicobar-islands,2022,1,744102,pincodes,8271
andaman-&-nicobar-islands,2022,1,744202,pincodes,4107
andaman-&-nicobar-islands,2022,1,744107,pincodes,3455
andaman-&-nicobar-islands,2022,1,744104,pincodes,3146
andaman-&-nicobar-islands,2022,1,744112,pincodes,2552
andaman-&-nicobar-islands,2022,1,744211,pincodes,2344
andaman-&-nicobar-islands,2022,1,744205,pincodes,2034
andaman-&-nicobar-islands,2022,2,"south andaman",districts,66959
andaman-&-nicobar-islands,2022,2,"north and middle andaman",districts,11379
andaman-&-nicobar-islands,2022,2,nicobars,districts,2192
andaman-&-nicobar-islands,2022,2,744103,pincodes,15799
andaman-&-nicobar-islands,2022,2,744105,pincodes,13791
andaman-&-nicobar-islands,2022,2,744101,pincodes,12947
andaman-&-nicobar-islands,2022,2,744102,pincodes,8709
andaman-&-nicobar-islands,2022,2,744202,pincodes,4361
andaman-&-nicobar-islands,2022,2,744107,pincodes,3674
andaman-&-nicobar-islands,2022,2,744104,pincodes,3319
andaman-&-nicobar-islands,2022,2,744112,pincodes,2700
andaman-&-nicobar-islands,2022,2,744211,pincodes,2471
andaman-&-nicobar-islands,2022,2,744205,pincodes,2162
andaman-&-nicobar-islands,2022,3,"south andaman",districts,70445
andaman-&-nicobar-islands,2022,3,"north and middle andaman",districts,11897
andaman-&-nicobar-islands,2022,3,nicobars,districts,2300
andaman-&-nicobar-islands,2022,3,744103,pincodes,16666
andaman-&-nicobar-islands,2022,3,744105,pincodes,14503
andaman-&-nicobar-islands,2022,3,744101,pincodes,13649
andaman-&-nicobar-islands,2022,3,744102,pincodes,9148
andaman-&-nicobar-islands,2022,3,744202,pincodes,4572
andaman-&-nicobar-islands,2022,3,744107,pincodes,3868
andaman-&-nicobar-islands,2022,3,744104,pincodes,3493
andaman-&-nicobar-islands,2022,3,744112,pincodes,2837
andaman-&-nicobar-islands,2022,3,744211,pincodes,2577
andaman-&-nicobar-islands,2022,3,744205,pincodes,2268
andaman-&-nicobar-islands,2022,4,"south andaman",districts,73692
andaman-&-nicobar-islands,2022,4,"north and middle andaman",districts,12361
andaman-&-nicobar-islands,2022,4,nicobars,districts,2389
andaman-&-nicobar-islands,2022,4,744103,pincodes,17406
andaman-&-nicobar-islands,2022,4,744105,pincodes,15185
andaman-&-nicobar-islands,2022,4,744101,pincodes,14337
andaman-&-nicobar-islands,2022,4,744102,pincodes,9591
andaman-&-nicobar-islands,2022,4,744202,pincodes,4760
andaman-&-nicobar-islands,2022,4,744107,pincodes,4051
andaman-&-nicobar-islands,2022,4,744104,pincodes,3647
